case,Q_veh_h,T_work_h,mean_deltaH,median_deltaH,median_rel_deltaH,p_benefit,p_benefit_lo95,p_benefit_hi95
baseline,50,0.050000000000000003,9.6672738171514984e-10,4.7371840712604042e-10,0.1096826086576649,0.12485,0.12034082792891938,0.12950325672397595
baseline,50,0.10000000000000001,3.4687976969872542e-10,4.5837201431130216e-10,0.054754122095354518,0.13220000000000001,0.12757638204944768,0.13696487967342288
baseline,50,0.25,-1.7126096634315979e-09,4.5576988784601972e-10,0.021845097408595356,0.14940000000000001,0.14452684143657227,0.15440781424596825
baseline,50,0.5,-4.7677068883838358e-09,4.5192558237708161e-10,0.010968343326780497,0.14630000000000001,0.14147004520957315,0.15126580109651525
baseline,50,1,-1.1821177867787283e-08,4.4114042963487921e-10,0.0054807602239481841,0.15040000000000001,0.14551306235605924,0.15542120925436911
baseline,50,2,-2.4121406921016946e-08,4.3837538942191928e-10,0.0027393041431229359,0.14829999999999999,0.1434420867372557,0.15329299142460825
baseline,50,4,-5.1469742612758458e-08,4.3679011861757917e-10,0.0013677682092647714,0.14940000000000001,0.14452684143657227,0.15440781424596825
baseline,100,0.050000000000000003,1.985177350834394e-09,9.655216579724994e-10,0.10976050628275971,0.12385,0.11935679064107915,0.12848767808392836
baseline,100,0.10000000000000001,6.7666741952051492e-10,9.2438111168661987e-10,0.054891390804341536,0.13844999999999999,0.13373286734255274,0.14330599392961646
baseline,100,0.25,-3.5495041750837221e-09,9.2268001634279427e-10,0.021908804370686742,0.1419,0.1371326661397749,0.14680487008360718
baseline,100,0.5,-9.9620524762708603e-09,8.7280897958262742e-10,0.010960497062957889,0.1472,0.14235742537955004,0.15217807526163735
baseline,100,1,-2.4831978671857676e-08,8.8978256184457061e-10,0.0054881655567462651,0.1525,0.14758437232005092,0.15754909273894177
baseline,100,2,-5.3493798862218095e-08,8.6902969035382724e-10,0.0027297554244286966,0.15195,0.14704185438141151,0.1569918219172429
baseline,100,4,-1.0448719832324039e-07,8.7519751870109912e-10,0.0013693793879665989,0.1484,0.14354069695661639,0.15339434279803635
baseline,200,0.050000000000000003,3.873038295056408e-09,1.8276079098876602e-09,0.10989923696065287,0.12725,0.12270290671645324,0.13194025616337274
baseline,200,0.10000000000000001,1.198755229196553e-09,1.8722337800009568e-09,0.054831781296476312,0.13730000000000001,0.13259982187394639,0.1421394810811519
baseline,200,0.25,-7.0217015952753039e-09,1.7543048568319419e-09,0.02190592302020334,0.14485000000000001,0.14004051102947374,0.14979589218117734
baseline,200,0.5,-2.0310240946253419e-08,1.853301300798079e-09,0.010931186558101644,0.1482,0.14334347728930244,0.15319163927977272
baseline,200,1,-4.6707464356383757e-08,1.8311107659078509e-09,0.005486164571223918,0.14865,0.14378722587570486,0.15364771786091985
baseline,200,2,-1.0263985667982732e-07,1.8128183797998783e-09,0.0027388136599199586,0.14430000000000001,0.13949831750083175,0.1492382969494811
baseline,200,4,-2.1091623047636317e-07,1.7178330501470162e-09,0.0013684224669880791,0.1512,0.1463020937062727,0.15623187064646585
baseline,400,0.050000000000000003,7.8429494789392669e-09,3.7365322925326539e-09,0.10999174375048956,0.12909999999999999,0.12452404427978042,0.13381840806663792
baseline,400,0.10000000000000001,2.4951438028926987e-09,3.6064359003063953e-09,0.054729071876620093,0.1389,0.13417626328420199,0.14376242515551671
baseline,400,0.25,-1.2767666408369907e-08,3.5889931770939902e-09,0.02189164789279897,0.14599999999999999,0.14117426591687574,0.1509616956108463
baseline,400,0.5,-3.7839430690338473e-08,3.6828868240318774e-09,0.010969642729005614,0.14419999999999999,0.13939973944961753,0.14913691340790647
